name,country_code,region,city,industry,employee_range,employee_count_est,company_age_years,founded_year,ipo_status,is_active,is_for_profit,cb_rank,has_funding,funding_total_usd,num_funding_rounds,last_funding_type,last_funding_year,fin_num_investors,it_spend_usd,active_tech_count,builtwith_num_technologies_used,semrush_visits_latest_month,monthly_visits_growth,num_contacts,num_employee_profiles,num_news,num_investors,num_acquisitions,num_current_positions,website,contact_email,contact_phone,active_hiring,recent_funding_event,web_visits_30d,email_engagement_score,crm_completeness_pct,days_since_last_contact,reply_rate_pct,deal_potential_usd,intent_score,last_contact_channel,lead_score,converted
WISEiTECH,KR,AS,Bundangdong,Analytics,101-250,175.0,34.0,1990.0,private,1,1,929368.0,1,0,1,series_unknown,2018.0,1,195183.5,3.0,3.0,1075.0,-0.385011442,5.0,0,3.0,1.0,1.0,1.0,http://www.wise.co.kr/,con███t@w███.co██████,02-███6-1███,1,0,1092,54.9,37.9,166,24.6,121035,48.1,Email,47.82,0
Connect It Utilities,GB,EU,Southampton,Electronics,101-250,175.0,23.0,2001.0,private,1,1,981450.0,0,0,0,none,,0,1508144.0,7.0,7.0,832.0,-0.120360248,1.0,0,3.0,1.0,1.0,1.0,https://www.cius.co.uk,,44-███9-3███44,1,0,842,22.9,31.8,70,14.4,164233,46.5,LinkedIn,39.42,0
Cdfortis.com,CN,AS,Chengdu,E-Commerce,101-250,175.0,10.0,2014.0,private,1,1,174276.0,1,7849646,1,series_a,2015.0,1,195183.5,4.0,4.0,3291.0,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,http://www.cdfortis.com/,adm███cdf███is.██████,400███3-3███,0,1,3295,19.6,46.5,361,8.22,97676,63.9,LinkedIn,49.79,1
CC Point Ltd,CH,EU,Zug,Information Technology,1-10,5.0,23.0,2001.0,private,1,1,2812542.0,0,0,0,none,,0,134095.0,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.ccpoint.ch,inf███cpo███.ch███,41-███290███,0,0,1637,18.4,33.8,53,8.25,9298,27.3,LinkedIn,24.56,0
SnapTrade,CA,Unknown,Fredericton,Developer APIs,1-10,5.0,7.0,2017.0,private,1,1,190424.0,1,500000,1,pre_seed,2022.0,1,240578.0,7.0,7.0,13169.0,0.043419697,2.0,0,3.0,1.0,1.0,0.0,https://snaptrade.com,,,1,0,13171,50.2,38.3,244,16.73,34758,54.0,Email,52.42,1
Snap21,AU,OC,Caulfield South,Apps,11-50,30.0,9.0,2015.0,private,1,1,3200798.0,0,0,0,none,,0,195183.5,7.0,7.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://snap21.com.au,inf███21m███a.c██████,+61███ 95███890███,0,0,1651,10.3,36.0,349,5.45,28060,16.3,Event,17.68,0
Synergy,OM,AS,Qurm,Energy,101-250,175.0,18.0,2006.0,private,1,1,2324148.0,0,0,0,none,,0,195183.5,7.0,7.0,542.0,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,https://www.synergypetroleum.com,inf███yne███pet█████████m,+96███460███9,0,0,546,18.2,48.4,75,3.9,97717,25.6,,24.41,0
Sycamore Dental and Associates,US,Unknown,Vista,Dental,1-10,5.0,31.0,1993.0,private,1,1,2969747.0,0,0,0,none,,0,166158.0,3.0,3.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://sycamoredentalassociates.net,syc███red███al@█████████,+1 ███ 59███654███,0,0,1593,24.9,58.4,34,0.96,32340,29.1,Email,27.77,0
Sydney Chefs,Unknown,Unknown,Unknown,Association,Unknown,30.0,9.0,2015.0,private,1,0,3233911.0,0,0,0,none,,0,195183.5,15.0,15.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,,,,0,0,1589,24.9,33.6,266,12.57,41640,25.9,Email,21.97,0
Webcloud IT,IN,AS,Bokaro,Advertising,1-10,5.0,14.0,2010.0,private,1,1,2762099.0,0,0,0,none,,0,195183.5,3.0,3.0,702.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://webcloudit.com/,inf███ebc███dit██████,+91███468███88,0,0,711,23.1,29.2,316,0.0,35967,19.3,,18.9,0
Business & ICT Consulting,BE,EU,Brussels,Consulting,51-100,75.0,11.0,2013.0,private,1,1,2713754.0,0,0,0,none,,0,1043324.0,14.0,14.0,11.0,0.1,5.0,0,3.0,1.0,1.0,1.0,https://www.businessict.eu,inf███usi███sic██████,32 ███03 ███40,0,0,97,53.1,43.0,299,3.46,90065,26.1,Event,24.23,0
Business Human Network,JP,AS,Tokyo,Apps,1-10,5.0,28.0,1996.0,private,1,1,2937727.0,0,0,0,none,,0,195183.5,2.0,2.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.bht.co.jp/,,03-███1-5███,0,0,1631,16.6,44.1,120,3.34,31593,26.9,LinkedIn,24.2,0
Alpine Security Consulting,US,Unknown,Erie,Unknown,1-10,5.0,4.0,2020.0,private,1,1,2705278.0,0,0,0,none,,0,195183.5,5.0,5.0,1587.5,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,https://www.alpineconsults.com,,,0,0,1674,22.8,45.7,323,9.27,17562,31.6,,23.14,0
Allied Plastics Holdings,US,Unknown,Long Island City,Film,1-10,5.0,46.0,1978.0,private,1,1,1530144.0,1,4000000,1,debt_financing,2007.0,1,44087544.0,26.0,26.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,,,201███3-6███,1,1,1631,44.9,40.4,24,36.18,2232250,76.8,LinkedIn,70.03,1
Alpha Ball Screw,US,Unknown,Freeland,Industrial,11-50,30.0,5.0,2019.0,private,1,1,2652966.0,0,0,0,none,,0,14237.0,2.0,2.0,1587.5,-0.120360248,1.0,0,3.0,1.0,1.0,1.0,https://alphaballscrew.com,sal███alp███all█████████,+1 ███ 89███674███,0,0,1591,11.5,39.2,159,3.87,22440,12.8,Email,19.36,0
Alpine,US,Unknown,Dunbarton,Cloud Data Services,Unknown,30.0,21.0,2003.0,private,1,1,1808620.0,0,0,0,none,,0,614604.0,3.0,3.0,436.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://alpinebusinesssolutions.com,Inf███lpi███usi█████████ion██████,603███3-9███,1,0,448,24.2,46.9,83,15.96,49594,34.4,LinkedIn,38.48,0
Alpine Collision,US,Unknown,Eagle,Automotive,11-50,30.0,23.0,2001.0,private,1,1,2279274.0,0,0,0,none,,0,88768.0,3.0,3.0,1587.5,-0.120360248,4.0,0,3.0,1.0,1.0,1.0,https://www.alpine-collision.com,inf███lpi███col█████████m,+1 ███ 32███886███,0,1,1593,15.2,51.5,113,21.39,39170,39.2,LinkedIn,42.05,0
Five Star Carting,US,Unknown,Flushing,Recycling,11-50,30.0,14.0,,private,1,1,541692.0,0,0,0,none,,0,2429742.0,5.0,5.0,1587.5,-0.120360248,12.0,2,3.0,1.0,2.0,2.0,http://www.fivestarcarting.com/,,718███9.7███,0,0,1735,23.6,34.0,222,10.27,147185,55.0,,29.36,0
Consejo,BG,EU,Sofia,Consulting,11-50,30.0,14.0,,private,1,1,2890148.0,0,0,0,none,,0,195183.5,14.0,14.0,520.0,-0.707865169,5.0,0,3.0,1.0,1.0,1.0,https://www.consejo.bg/,off███@co███jo.███,+35███00 ███070███,0,0,523,48.5,41.0,165,10.16,39862,18.6,Email,24.2,0
Console Support,UA,EU,Kyiv,Information Technology,1-10,5.0,10.0,2014.0,private,1,1,2992190.0,0,0,0,none,,0,195183.5,11.0,11.0,1587.5,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,https://console.support/,que███ons███nso█████████t,,0,0,1664,17.8,45.7,190,2.31,13692,33.7,LinkedIn,24.87,0
Connect TV,SE,EU,Malmö,Broadcasting,11-50,30.0,14.0,2010.0,private,1,1,2386393.0,0,0,0,none,,0,195183.5,14.0,14.0,1.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.connecttv.se,kun███rvi███con█████████,+46███ 61███0 0███,0,0,77,20.8,36.7,174,7.19,27060,22.9,LinkedIn,21.56,0
WISE,IT,EU,Milan,Hardware,1-10,5.0,13.0,2011.0,private,1,1,47774.0,1,29703535,7,series_c,2020.0,14,195183.5,7.0,7.0,1739.0,-0.932106403,5.0,4,1.0,14.0,1.0,4.0,https://www.wiseneuro.com/,inf███ise███tec██████,39 ███566███193███,1,1,2051,44.4,57.8,0,31.92,12480,76.4,Email,71.47,1
Whitehill Technologies,CA,Unknown,Moncton,Data Center,51-100,75.0,24.0,2000.0,private,0,1,1055760.0,1,8413884,2,series_b,2004.0,2,195183.5,3.0,3.0,1587.5,-0.120360248,1.0,0,3.0,2.0,1.0,1.0,http://www.whitehilltech.com/,,,0,1,1598,39.0,35.7,228,19.42,48545,54.1,Phone,41.15,0
WIRE Consulting,IT,EU,Venice,Consulting,11-50,30.0,11.0,2013.0,private,1,1,2559702.0,0,0,0,none,,0,195183.5,2.0,2.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.wireconsulting.it,inf███ire███sul█████████,+39███1 2███0 9███,1,0,1645,32.6,43.7,85,16.87,34514,62.9,,45.46,1
Amin Samadian DDS,Unknown,Unknown,Unknown,Unknown,Unknown,30.0,14.0,,private,1,1,2551095.0,0,0,0,none,,0,17359.0,6.0,6.0,1587.5,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,https://www.samadiandds.com,,,1,0,2203,42.8,48.4,61,15.1,22816,47.4,Phone,44.42,1
Americraft,US,Unknown,Cincinnati,Industrial,11-50,30.0,14.0,,private,1,1,1442932.0,0,0,0,none,,0,83577.0,12.0,12.0,1587.5,-0.120360248,9.0,0,3.0,1.0,1.0,1.0,https://www.americraftmfg.com,,+1 ███-84███938███,1,0,1595,10.7,42.5,319,15.79,19864,44.1,LinkedIn,36.74,0
Tuff Girl - Body And Nutrition,US,Unknown,Livermore,Beauty,51-100,75.0,16.0,2008.0,private,1,1,2918147.0,0,0,0,none,,0,25954.0,17.0,17.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://tuffgirl.com/,,,0,0,1589,1.1,29.2,205,0.0,59202,9.7,,16.83,0
River Point Realty,US,Unknown,Pittsburgh,Commercial Real Estate,11-50,30.0,8.0,2016.0,private,1,1,1471269.0,0,0,0,none,,0,494050.0,4.0,4.0,1587.5,-0.120360248,6.0,0,3.0,1.0,1.0,1.0,https://www.riverpointpgh.com,inf███ive███int█████████,+1 ███ 41███115███,0,1,1588,15.0,41.4,104,15.41,297418,36.9,Email,41.16,0
Cavendish Ships Stores,GB,EU,Fareham,Ferry Service,11-50,30.0,46.0,1978.0,private,1,1,2643478.0,0,0,0,none,,0,129393.0,2.0,2.0,1448.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.cavendishfoods.co.uk,far███m@c███ndi█████████o.u███,+44███329███770███,0,0,1506,31.0,52.2,317,9.09,22239,32.4,,24.62,0
SNBRG & son,NL,EU,Rotterdam,Advertising,1-10,5.0,6.0,2018.0,private,1,1,2894567.0,0,0,0,none,,0,195183.5,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.snbrg.nl/,hal███snb███nl,316███ 64███ 69███,0,0,1588,4.3,41.3,290,0.0,14448,19.6,LinkedIn,18.93,0
SYMA TECH,DE,EU,Gotha,Customer Service,11-50,30.0,22.0,2002.0,private,1,1,2817507.0,0,0,0,none,,0,195183.5,8.0,8.0,894.0,-0.194594595,5.0,1,3.0,1.0,1.0,1.0,https://www.syma-tech.de,off███@sy███tec██████,+49███621███239███,0,0,905,0.0,37.2,249,7.35,25932,29.0,Phone,20.21,0
Sycamore Hill Capital Corporation,US,Unknown,San Francisco,Finance,101-250,175.0,31.0,1993.0,private,1,1,1222442.0,0,0,0,none,,0,84868.0,10.0,10.0,1587.5,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,https://www.sycamorehillcapital.com/,gre███erg███cam█████████pit█████████,(41███341███67,0,1,1626,25.7,51.4,12,19.59,94328,50.0,Phone,46.79,1
Business Convergence,US,Unknown,Newtown,Consulting,1-10,5.0,17.0,2007.0,private,1,1,3065999.0,0,0,0,none,,0,109984.0,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.bconv.com,mik███urn███con██████,+1 ███ 96███708███,0,0,1614,22.4,41.4,162,10.15,12494,32.1,,25.02,0
Storytally,FI,EU,Helsinki,iOS,1-10,5.0,13.0,2011.0,private,1,1,1611522.0,0,0,0,none,,0,195183.5,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://storytally.com,,,1,0,1625,19.1,39.9,42,18.24,13306,58.1,Email,43.42,1
Alraqi Engineering Consulting,AE,AS,Abu Dhabi,Architecture,11-50,30.0,19.0,2005.0,private,1,1,904935.0,0,0,0,none,,0,195183.5,2.0,2.0,1587.5,-0.120360248,5.0,2,3.0,1.0,1.0,2.0,https://www.alraqi-cons.com,inf███lra███con██████,+97███05 ███ 02███,0,0,1615,10.1,45.2,110,2.73,26726,20.7,Email,22.53,0
Alliance Hospice,US,Unknown,Ambler,Elder Care,51-100,75.0,19.0,2005.0,private,1,1,1059202.0,0,0,0,none,,0,56144.0,10.0,10.0,1587.5,-0.120360248,9.0,0,3.0,1.0,1.0,1.0,https://alliancehospice.com,inf███lli███eho█████████,610███8.3███,0,0,1724,10.3,53.4,204,3.88,43704,52.5,Email,28.9,0
Alpha Envirotech Consulting,US,Unknown,Jacksonville,Advice,Unknown,30.0,14.0,2010.0,private,1,1,2668373.0,0,0,0,none,,0,89580.0,3.0,3.0,1587.5,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,http://aenvirotech.com,inf███env███tec██████,+1 ███ 38███083███,0,0,1592,21.1,63.1,255,0.0,25526,7.6,Email,20.44,0
Allen Real Estate Co.,US,Unknown,Warrenton,Property Management,Unknown,30.0,34.0,1990.0,private,1,1,1528868.0,0,0,0,none,,0,127428.0,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.allenrealestate.com,jka███njr███len█████████e.c███,+1 ███347███8,0,0,1594,13.7,50.6,306,4.35,48267,16.1,Phone,19.7,0
Alphline Technologies,SG,AS,Singapore,Consulting,1-10,5.0,22.0,2002.0,private,1,1,882570.0,0,0,0,none,,0,195183.5,5.0,5.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.alphline.com.sg,enq███ies███phl█████████,+65███47 ███8,0,0,1593,24.9,53.3,143,0.0,15176,13.3,,22.71,0
Ammo Shop Online,Unknown,Unknown,Unknown,E-Commerce,Unknown,30.0,14.0,,private,1,1,2724676.0,0,0,0,none,,0,195183.5,7.0,7.0,90444.0,5.0,5.0,0,3.0,1.0,1.0,1.0,https://www.ammoshoponline.com,sal███amm███opo█████████,1(9███ 34███272███,0,0,90513,1.5,40.0,145,3.91,26042,42.8,,30.22,0
Conshohocken Brewing,US,Unknown,Conshohocken,Food and Beverage,51-100,75.0,14.0,,private,1,1,766437.0,0,0,0,none,,0,327934.0,3.0,3.0,570.0,-0.120360248,10.0,2,3.0,1.0,1.0,2.0,https://www.conshohockenbrewing.com,con███tus███nsh█████████ewi█████████,+1 ███ 89███962███,1,0,647,21.4,39.8,300,11.81,62368,28.2,Email,34.24,0
Consolidated Parts,US,Unknown,Santa Clara,Electrical Distribution,11-50,30.0,14.0,,private,1,1,2190735.0,0,0,0,none,,0,275176.0,5.0,5.0,1587.5,-0.120360248,9.0,0,3.0,1.0,1.0,1.0,https://www.consolidatedparts.com/,sal███con███ida█████████com███,+1 ███ 76███200███,1,0,1627,18.7,47.7,163,10.62,34191,37.6,Phone,38.81,0
Conseil Telecom,FR,EU,Paris,Internet,51-100,75.0,15.0,2009.0,private,1,1,2953989.0,0,0,0,none,,0,195183.5,3.0,3.0,246.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.conseil-telecom.net,inf███ons███-te█████████,+33███ 90███ 26██████,1,0,364,27.4,44.9,168,20.94,49491,25.5,LinkedIn,35.65,0
Connected Markets,US,Unknown,Los Angeles,Marketing,1-10,5.0,14.0,,private,1,1,2104314.0,0,0,0,none,,0,94133.0,6.0,6.0,410.0,-0.120360248,5.0,2,3.0,1.0,1.0,2.0,https://www.connectedmarkets.com/,fir███con███ted█████████om,+1 ███ 29███215███,1,0,413,24.6,35.4,297,8.62,13377,45.2,Email,36.81,0
Conqueror Industries,GB,EU,Royston,Chemical,11-50,30.0,32.0,1992.0,private,1,1,3072838.0,0,0,0,none,,0,188499.0,2.0,2.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.c-i-ltd.co.uk,inf███-i-███.co██████,+44███6 3███953███,0,0,1832,28.0,42.6,232,0.18,26102,28.1,Event,24.05,0
"Winpower Strategies, Inc.",US,Unknown,Wausau,Consulting,1-10,5.0,14.0,,private,1,1,2071996.0,0,0,0,none,,0,97623.0,4.0,4.0,1587.5,-0.120360248,2.0,0,3.0,1.0,1.0,1.0,https://www.winpowerstrategies.com,inf███inp███rst█████████com███,+1 ███-32███890███,1,1,1784,11.4,44.8,270,26.51,8726,61.0,,55.18,1
American Metal Roofs,US,Unknown,Flint,Building Maintenance,11-50,30.0,24.0,2000.0,private,1,1,808640.0,0,0,0,none,,0,862230.0,15.0,15.0,1140.0,-0.120360248,16.0,0,3.0,1.0,1.0,1.0,https://americanmetalroofs.com,,+1-███-66███083███,0,0,1200,25.5,55.7,59,2.59,58284,27.3,,28.22,0
Concrete Colour Systems,AU,OC,Loganholme,Building Material,101-250,175.0,30.0,1994.0,private,1,1,1649115.0,0,0,0,none,,0,195183.5,20.0,20.0,5446.0,1.023031204,5.0,0,3.0,1.0,1.0,1.0,https://concretecoloursystems.com.au,inf███onc███eco█████████ms.█████████,+61███00 ███ 74███,0,0,5736,40.6,48.0,295,0.62,99081,33.0,Phone,28.2,0
Turbodealer,RU,EU,Moscow,Advertising,1-10,5.0,13.0,2011.0,private,1,1,124455.0,1,223312,1,seed,2016.0,0,195183.5,30.0,30.0,1587.5,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,http://turbodealer.ru/,inf███urb███ale██████,880███518███,1,0,1589,68.6,46.3,234,13.2,12471,52.5,Phone,50.11,0
Tower Bridge International Education,CN,AS,Haidian,EdTech,101-250,175.0,10.0,2014.0,private,1,1,111575.0,1,9477372,4,series_c,2018.0,3,383786.0,9.0,9.0,1587.5,-0.120360248,5.0,1,3.0,3.0,1.0,1.0,https://tbiedu.com/,inf███bie███com███,800███0-0███,1,0,1596,40.2,39.9,164,16.51,107831,49.2,Email,47.06,0
Touritz,US,Unknown,Cincinnati,Apps,1-10,5.0,11.0,2013.0,private,1,1,837182.0,1,50000,3,seed,2014.0,1,195183.5,4.0,4.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.touritz.com,,,1,1,1594,48.2,39.9,193,33.35,19368,64.5,Phone,65.52,1
AMV,NO,EU,Flekkefjord,Consulting,101-250,175.0,14.0,,private,1,1,1008018.0,0,0,0,none,,0,1173352.0,17.0,17.0,365.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.amv-as.no,com███y@a███as.███,47 ███32 ███20,0,0,424,7.0,34.4,233,8.11,146479,29.2,Phone,20.65,0
Workspace91,IN,AS,Indore,Unknown,11-50,30.0,6.0,2018.0,private,1,1,1805855.0,0,0,0,none,,0,195183.5,17.0,17.0,231.0,-0.025316456,5.0,1,3.0,1.0,1.0,1.0,https://workspace91.com/,,,1,0,235,11.1,58.3,182,5.46,27001,53.1,,40.34,0
Konings NV,BE,EU,Zonhoven,Food and Beverage,Unknown,30.0,14.0,,private,1,1,1141973.0,0,0,0,none,,0,460598.0,2.0,2.0,1587.5,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,https://www.koningsjobs.be/,inf███oni███.be███,,0,0,1650,28.4,44.1,332,6.9,41318,32.6,,23.63,0
Consonics,CH,EU,Seuzach,Information Technology,1-10,5.0,24.0,2000.0,private,1,1,2801088.0,0,0,0,none,,0,25052.0,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://consonics.ch,inf███ons███cs.███,41 ███316███ 20███,0,0,1744,19.9,42.2,231,7.21,5836,28.4,,23.23,0
CBR Marketing,ZA,AF,Gauteng,Advertising,11-50,30.0,27.0,1997.0,private,1,1,799277.0,0,0,0,none,,0,195183.5,15.0,15.0,1513.0,-0.083030303,2.0,1,3.0,1.0,1.0,1.0,https://www.cbrmarketing.co.za,inf███brm███eti█████████,+27███ 21███960███,0,0,1569,36.8,34.2,360,1.69,26207,15.5,,19.41,0
Synergy Thermal Foils,US,Unknown,Coral Springs,Building Material,11-50,30.0,16.0,2008.0,private,1,1,1200414.0,0,0,0,none,,0,58734.0,22.0,22.0,1752.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://synergythermofoils.com,inf███yne███the█████████com███,+1 ███ 42███553███,0,0,1782,11.3,67.5,106,13.34,22793,15.9,Email,23.63,0
Web Formation,Unknown,Unknown,Unknown,Internet,Unknown,30.0,14.0,,private,1,1,1823121.0,0,0,0,none,,0,425252.0,46.0,46.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://webformation.ecf.asso.fr,,,1,1,1592,40.2,35.4,222,35.44,42242,61.0,LinkedIn,58.27,1
WebPerf IO,FR,EU,Montpellier,Advertising,1-10,5.0,11.0,2013.0,private,1,1,3049822.0,0,0,0,none,,0,364928.0,2.0,2.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://webperf.io/,,,0,0,1593,38.7,40.6,79,4.08,23734,9.9,Email,23.27,0
AttradePrices,GB,EU,Clydebank,Green Building,1-10,5.0,14.0,2010.0,private,1,1,2644158.0,0,0,0,none,,0,89412.0,11.0,11.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.paving.attradeprices.co.uk,inf███avi███att█████████s.c██████,,1,0,1718,39.2,47.3,233,12.02,8544,29.7,Email,37.78,0
Business FM Kazakhstan,KZ,AS,Almaty,Events,Unknown,30.0,14.0,,private,1,1,1672919.0,0,0,0,none,,0,195183.5,3.0,3.0,18139.0,-0.472366048,5.0,0,3.0,1.0,1.0,1.0,https://businessfm.kz,inf███usi███sfm██████,8(7███ 31███4 3███,1,0,18203,32.8,48.8,183,23.26,35665,42.2,LinkedIn,45.42,1
Alize Automatismes,FR,EU,Six-fours-la-plage,Industrial,1-10,5.0,32.0,1992.0,private,1,1,921342.0,0,0,0,none,,0,195183.5,8.0,8.0,103.0,-0.975940201,5.0,0,3.0,1.0,1.0,1.0,http://www.alize-sud.fr,ali███ali███sud██████,33 ███102███,0,0,121,20.1,51.7,184,4.9,12676,26.9,LinkedIn,23.38,0
Alignment Collaborative for Education,US,Unknown,Elgin,Education,1-10,5.0,11.0,2013.0,private,1,0,1394302.0,1,0,1,grant,2023.0,1,35431.0,7.0,7.0,1587.5,-0.120360248,1.0,0,3.0,1.0,1.0,1.0,https://www.align4edu.org/,ace███ign███u.o███,224███7-7███,1,0,1598,29.3,55.3,133,15.43,12630,56.0,LinkedIn,48.43,0
Allegro Response Teleservices,US,Unknown,Austin,Call Center,11-50,30.0,12.0,2012.0,private,1,1,845799.0,0,0,0,none,,0,121395.0,10.0,10.0,346.0,-0.120360248,9.0,2,3.0,1.0,1.0,2.0,https://allegroresponse.com/,inf███lle███res█████████,855███4-4███,1,0,346,43.6,51.2,219,15.36,26664,48.5,Email,42.22,1
